iter	RMSE
0	76180.08819
1	74254.66216
2	71979.62304
3	69913.9821
4	67848.71209
5	66011.18182
6	64174.35128
7	62417.93618
8	60887.29084
9	59477.21367
10	58076.36673
11	56586.16521
12	55362.0735
13	53890.32938
14	52507.6961
15	51339.33042
16	50102.94378
17	49075.45159
18	47963.06643
19	46947.29796
20	45981.84745
21	45040.25163
22	44103.91903
23	43242.54331
24	42351.44803
25	41540.48849
26	40761.35911
27	39981.44856
28	39214.24411
29	38507.03985
30	37893.56149
31	37266.38623
32	36651.31094
33	35980.37977
34	35429.88161
35	34945.21373
36	34533.99775
37	34012.85644
38	33549.63836
39	33111.85179
40	32628.44821
41	32166.38975
42	31735.43487
43	31313.56678
44	30957.94068
45	30573.03615
46	30182.33236
47	29842.89952
48	29529.99329
49	29261.6933
50	28977.18006
51	28640.68992
52	28338.77573
53	28047.03704
54	27808.62776
55	27545.75575
56	27269.85342
57	27049.4986
58	26748.34301
59	26533.19344
60	26314.10532
61	26106.53851
62	25883.23426
63	25695.25984
64	25511.67952
65	25356.62161
66	25187.24082
67	24988.35587
68	24808.23887
69	24692.02182
70	24526.69661
71	24358.09005
72	24186.31791
73	24018.43268
74	23852.64883
75	23694.96458
76	23575.25619
77	23384.69292
78	23252.49095
79	23127.67306
80	23038.38248
81	22913.41748
82	22756.19337
83	22620.01564
84	22489.6331
85	22364.04855
86	22236.6122
87	22127.80575
88	22052.59705
89	21969.02957
90	21843.77295
91	21734.60667
92	21613.49219
93	21533.45998
94	21432.07342
95	21404.20534
96	21325.86403
97	21210.70763
98	21129.04055
99	21060.98087
100	20991.78372
101	20897.48047
102	20875.89822
103	20800.15957
104	20724.59524
105	20648.87945
106	20553.82036
107	20474.83572
108	20390.27494
109	20316.53593
110	20241.64231
111	20192.09859
112	20155.66309
113	20095.09349
114	20009.69466
115	19955.56274
116	19879.91286
117	19802.65074
118	19720.04045
119	19681.88079
120	19634.42957
121	19595.29483
122	19547.02034
123	19485.04026
124	19427.96108
125	19399.64702
126	19375.80448
127	19321.46488
128	19271.21119
129	19210.63521
130	19151.00973
131	19088.81879
132	19043.644
133	19013.32607
134	18956.28917
135	18942.31665
136	18911.32097
137	18861.34355
138	18810.5061
139	18780.32981
140	18727.41774
141	18694.14998
142	18633.77087
143	18612.07893
144	18597.02578
145	18560.54936
146	18517.41584
147	18483.5033
148	18462.67213
149	18418.04449
150	18376.63482
151	18325.74094
