iter	Passed	Remaining
0	52	52919
1	103	51857
2	159	53116
3	219	54642
4	278	55401
5	329	54616
6	380	53930
7	425	52803
8	472	52054
9	521	51646
10	556	49993
11	615	50645
12	656	49813
13	701	49415
14	748	49126
15	793	48794
16	861	49797
17	959	52358
18	1039	53648
19	1134	55596
20	1241	57890
21	1327	58996
22	1418	60264
23	1484	60385
24	1562	60954
25	1626	60931
26	1690	60927
27	1749	60721
28	1828	61220
29	1895	61294
30	2007	62747
31	2071	62650
32	2149	62996
33	2229	63348
34	2300	63434
35	2378	63686
36	2434	63366
37	2509	63526
38	2583	63668
39	2651	63643
40	2716	63545
41	2809	64090
42	2900	64555
43	2977	64695
44	3078	65333
45	3155	65449
46	3305	67014
47	3494	69299
48	3587	69630
49	3672	69770
50	3750	69785
51	3819	69624
52	3896	69630
53	3951	69216
54	4005	68825
55	4051	68300
56	4100	67843
57	4162	67602
58	4214	67215
59	4260	66751
60	4323	66553
61	4382	66307
62	4446	66133
63	4520	66114
64	4589	66016
65	4657	65915
66	4738	65987
67	4791	65677
68	4851	65458
69	4916	65323
70	4979	65150
71	5038	64937
72	5102	64790
73	5175	64760
74	5267	64964
75	5345	64993
76	5426	65045
77	5500	65013
78	5582	65078
79	5655	65037
80	5730	65018
81	5817	65126
82	5907	65269
83	5981	65224
84	6057	65208
85	6120	65052
86	6175	64806
87	6223	64498
88	6290	64384
89	6411	64825
90	6480	64733
91	6555	64703
92	6607	64441
93	6657	64168
94	6708	63909
95	6780	63851
96	6846	63735
97	6942	63901
98	6999	63704
99	7065	63590
100	7133	63490
101	7233	63684
102	7332	63857
103	7458	64254
104	7575	64570
105	7664	64638
106	7755	64723
107	7839	64745
108	7908	64648
109	7984	64604
110	8058	64539
111	8121	64390
112	8197	64347
113	8287	64410
114	8364	64373
115	8441	64327
116	8518	64289
117	8610	64359
118	8687	64313
119	8764	64272
120	8849	64283
121	8923	64221
122	8994	64130
123	9083	64169
124	9152	64067
125	9239	64091
126	9318	64055
127	9391	63980
128	9467	63923
129	9536	63822
130	9617	63799
131	9687	63701
132	9769	63685
133	9850	63658
134	9934	63656
135	10028	63708
